waveform	[0]
t0	4/25/2025  16:03:36.789856
delta t	2.272727E-5

time	Y[0]
4/25/2025  16:03:36.789856	0.000000E+0
4/25/2025  16:03:36.789879	0.000000E+0
4/25/2025  16:03:36.789902	-3.051758E-5
4/25/2025  16:03:36.789925	0.000000E+0
4/25/2025  16:03:36.789947	0.000000E+0
4/25/2025  16:03:36.789970	0.000000E+0
4/25/2025  16:03:36.789993	0.000000E+0
4/25/2025  16:03:36.790016	-3.051758E-5
4/25/2025  16:03:36.790038	0.000000E+0
4/25/2025  16:03:36.790061	0.000000E+0
4/25/2025  16:03:36.790084	0.000000E+0
4/25/2025  16:03:36.790106	0.000000E+0
4/25/2025  16:03:36.790129	0.000000E+0
4/25/2025  16:03:36.790152	0.000000E+0
4/25/2025  16:03:36.790175	0.000000E+0
4/25/2025  16:03:36.790197	0.000000E+0
4/25/2025  16:03:36.790220	0.000000E+0
4/25/2025  16:03:36.790243	0.000000E+0
4/25/2025  16:03:36.790266	0.000000E+0
4/25/2025  16:03:36.790288	0.000000E+0
4/25/2025  16:03:36.790311	0.000000E+0
4/25/2025  16:03:36.790334	0.000000E+0
4/25/2025  16:03:36.790356	-3.051758E-5
4/25/2025  16:03:36.790379	0.000000E+0
4/25/2025  16:03:36.790402	0.000000E+0
4/25/2025  16:03:36.790425	0.000000E+0
4/25/2025  16:03:36.790447	0.000000E+0
4/25/2025  16:03:36.790470	0.000000E+0
4/25/2025  16:03:36.790493	0.000000E+0
4/25/2025  16:03:36.790516	0.000000E+0
4/25/2025  16:03:36.790538	0.000000E+0
4/25/2025  16:03:36.790561	0.000000E+0
4/25/2025  16:03:36.790584	3.051758E-5
4/25/2025  16:03:36.790606	0.000000E+0
4/25/2025  16:03:36.790629	-3.051758E-5
4/25/2025  16:03:36.790652	0.000000E+0
4/25/2025  16:03:36.790675	0.000000E+0
4/25/2025  16:03:36.790697	0.000000E+0
4/25/2025  16:03:36.790720	0.000000E+0
4/25/2025  16:03:36.790743	0.000000E+0
4/25/2025  16:03:36.790766	0.000000E+0
4/25/2025  16:03:36.790788	0.000000E+0
4/25/2025  16:03:36.790811	0.000000E+0
4/25/2025  16:03:36.790834	0.000000E+0
4/25/2025  16:03:36.790856	0.000000E+0
4/25/2025  16:03:36.790879	0.000000E+0
4/25/2025  16:03:36.790902	0.000000E+0
4/25/2025  16:03:36.790925	0.000000E+0
4/25/2025  16:03:36.790947	0.000000E+0
4/25/2025  16:03:36.790970	0.000000E+0
4/25/2025  16:03:36.790993	0.000000E+0
4/25/2025  16:03:36.791016	0.000000E+0
4/25/2025  16:03:36.791038	0.000000E+0
4/25/2025  16:03:36.791061	0.000000E+0
4/25/2025  16:03:36.791084	-3.051758E-5
4/25/2025  16:03:36.791106	0.000000E+0
4/25/2025  16:03:36.791129	0.000000E+0
4/25/2025  16:03:36.791152	0.000000E+0
4/25/2025  16:03:36.791175	0.000000E+0
4/25/2025  16:03:36.791197	0.000000E+0
4/25/2025  16:03:36.791220	0.000000E+0
4/25/2025  16:03:36.791243	0.000000E+0
4/25/2025  16:03:36.791266	0.000000E+0
4/25/2025  16:03:36.791288	0.000000E+0
4/25/2025  16:03:36.791311	0.000000E+0
4/25/2025  16:03:36.791334	0.000000E+0
4/25/2025  16:03:36.791356	0.000000E+0
4/25/2025  16:03:36.791379	0.000000E+0
4/25/2025  16:03:36.791402	3.051758E-5
4/25/2025  16:03:36.791425	0.000000E+0
4/25/2025  16:03:36.791447	0.000000E+0
4/25/2025  16:03:36.791470	0.000000E+0
4/25/2025  16:03:36.791493	0.000000E+0
4/25/2025  16:03:36.791516	0.000000E+0
4/25/2025  16:03:36.791538	0.000000E+0
4/25/2025  16:03:36.791561	0.000000E+0
4/25/2025  16:03:36.791584	3.051758E-5
4/25/2025  16:03:36.791606	0.000000E+0
4/25/2025  16:03:36.791629	0.000000E+0
4/25/2025  16:03:36.791652	0.000000E+0
4/25/2025  16:03:36.791675	3.051758E-5
4/25/2025  16:03:36.791697	3.051758E-5
4/25/2025  16:03:36.791720	0.000000E+0
4/25/2025  16:03:36.791743	0.000000E+0
4/25/2025  16:03:36.791766	0.000000E+0
4/25/2025  16:03:36.791788	-3.051758E-5
4/25/2025  16:03:36.791811	3.051758E-5
4/25/2025  16:03:36.791834	3.051758E-5
4/25/2025  16:03:36.791856	0.000000E+0
4/25/2025  16:03:36.791879	0.000000E+0
4/25/2025  16:03:36.791902	0.000000E+0
4/25/2025  16:03:36.791925	0.000000E+0
4/25/2025  16:03:36.791947	0.000000E+0
4/25/2025  16:03:36.791970	0.000000E+0
4/25/2025  16:03:36.791993	0.000000E+0
4/25/2025  16:03:36.792016	3.051758E-5
4/25/2025  16:03:36.792038	0.000000E+0
4/25/2025  16:03:36.792061	0.000000E+0
4/25/2025  16:03:36.792084	0.000000E+0
4/25/2025  16:03:36.792106	3.051758E-5
4/25/2025  16:03:36.792129	0.000000E+0
4/25/2025  16:03:36.792152	0.000000E+0
4/25/2025  16:03:36.792175	0.000000E+0
4/25/2025  16:03:36.792197	0.000000E+0
4/25/2025  16:03:36.792220	0.000000E+0
4/25/2025  16:03:36.792243	-3.051758E-5
4/25/2025  16:03:36.792266	0.000000E+0
4/25/2025  16:03:36.792288	0.000000E+0
4/25/2025  16:03:36.792311	0.000000E+0
4/25/2025  16:03:36.792334	0.000000E+0
4/25/2025  16:03:36.792356	0.000000E+0
4/25/2025  16:03:36.792379	0.000000E+0
4/25/2025  16:03:36.792402	0.000000E+0
4/25/2025  16:03:36.792425	0.000000E+0
4/25/2025  16:03:36.792447	0.000000E+0
4/25/2025  16:03:36.792470	0.000000E+0
4/25/2025  16:03:36.792493	-3.051758E-5
4/25/2025  16:03:36.792516	-3.051758E-5
4/25/2025  16:03:36.792538	-3.051758E-5
4/25/2025  16:03:36.792561	0.000000E+0
4/25/2025  16:03:36.792584	0.000000E+0
4/25/2025  16:03:36.792606	0.000000E+0
4/25/2025  16:03:36.792629	0.000000E+0
4/25/2025  16:03:36.792652	-3.051758E-5
4/25/2025  16:03:36.792675	0.000000E+0
4/25/2025  16:03:36.792697	0.000000E+0
4/25/2025  16:03:36.792720	0.000000E+0
4/25/2025  16:03:36.792743	0.000000E+0
4/25/2025  16:03:36.792766	0.000000E+0
4/25/2025  16:03:36.792788	0.000000E+0
4/25/2025  16:03:36.792811	0.000000E+0
4/25/2025  16:03:36.792834	0.000000E+0
4/25/2025  16:03:36.792856	0.000000E+0
4/25/2025  16:03:36.792879	3.051758E-5
4/25/2025  16:03:36.792902	0.000000E+0
4/25/2025  16:03:36.792925	3.051758E-5
4/25/2025  16:03:36.792947	0.000000E+0
4/25/2025  16:03:36.792970	0.000000E+0
4/25/2025  16:03:36.792993	0.000000E+0
4/25/2025  16:03:36.793016	0.000000E+0
4/25/2025  16:03:36.793038	0.000000E+0
4/25/2025  16:03:36.793061	0.000000E+0
4/25/2025  16:03:36.793084	3.051758E-5
4/25/2025  16:03:36.793106	-3.051758E-5
4/25/2025  16:03:36.793129	0.000000E+0
4/25/2025  16:03:36.793152	3.051758E-5
4/25/2025  16:03:36.793175	-3.051758E-5
4/25/2025  16:03:36.793197	0.000000E+0
4/25/2025  16:03:36.793220	0.000000E+0
4/25/2025  16:03:36.793243	0.000000E+0
4/25/2025  16:03:36.793266	0.000000E+0
4/25/2025  16:03:36.793288	0.000000E+0
4/25/2025  16:03:36.793311	0.000000E+0
4/25/2025  16:03:36.793334	0.000000E+0
4/25/2025  16:03:36.793356	-3.051758E-5
4/25/2025  16:03:36.793379	0.000000E+0
4/25/2025  16:03:36.793402	0.000000E+0
4/25/2025  16:03:36.793425	0.000000E+0
4/25/2025  16:03:36.793447	-3.051758E-5
4/25/2025  16:03:36.793470	0.000000E+0
4/25/2025  16:03:36.793493	-3.051758E-5
4/25/2025  16:03:36.793516	0.000000E+0
4/25/2025  16:03:36.793538	0.000000E+0
4/25/2025  16:03:36.793561	0.000000E+0
4/25/2025  16:03:36.793584	0.000000E+0
4/25/2025  16:03:36.793606	0.000000E+0
4/25/2025  16:03:36.793629	-3.051758E-5
4/25/2025  16:03:36.793652	0.000000E+0
4/25/2025  16:03:36.793675	0.000000E+0
4/25/2025  16:03:36.793697	0.000000E+0
4/25/2025  16:03:36.793720	0.000000E+0
4/25/2025  16:03:36.793743	0.000000E+0
4/25/2025  16:03:36.793766	0.000000E+0
4/25/2025  16:03:36.793788	-3.051758E-5
4/25/2025  16:03:36.793811	0.000000E+0
4/25/2025  16:03:36.793834	0.000000E+0
4/25/2025  16:03:36.793856	0.000000E+0
4/25/2025  16:03:36.793879	0.000000E+0
4/25/2025  16:03:36.793902	0.000000E+0
4/25/2025  16:03:36.793925	0.000000E+0
4/25/2025  16:03:36.793947	0.000000E+0
4/25/2025  16:03:36.793970	0.000000E+0
4/25/2025  16:03:36.793993	-3.051758E-5
4/25/2025  16:03:36.794016	-3.051758E-5
4/25/2025  16:03:36.794038	0.000000E+0
4/25/2025  16:03:36.794061	0.000000E+0
4/25/2025  16:03:36.794084	0.000000E+0
4/25/2025  16:03:36.794106	0.000000E+0
4/25/2025  16:03:36.794129	0.000000E+0
4/25/2025  16:03:36.794152	3.051758E-5
4/25/2025  16:03:36.794175	0.000000E+0
4/25/2025  16:03:36.794197	0.000000E+0
4/25/2025  16:03:36.794220	0.000000E+0
4/25/2025  16:03:36.794243	0.000000E+0
4/25/2025  16:03:36.794266	0.000000E+0
4/25/2025  16:03:36.794288	-3.051758E-5
4/25/2025  16:03:36.794311	0.000000E+0
4/25/2025  16:03:36.794334	0.000000E+0
4/25/2025  16:03:36.794356	0.000000E+0
4/25/2025  16:03:36.794379	0.000000E+0
4/25/2025  16:03:36.794402	0.000000E+0
4/25/2025  16:03:36.794425	0.000000E+0
4/25/2025  16:03:36.794447	0.000000E+0
4/25/2025  16:03:36.794470	0.000000E+0
4/25/2025  16:03:36.794493	0.000000E+0
4/25/2025  16:03:36.794516	3.051758E-5
4/25/2025  16:03:36.794538	0.000000E+0
